Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials
2026,11 Jun 2026 - 20:00 ,Group A,Estadio Azteca,Mexico City ,Mexico,TBD,TBD,South Africa, ,0,0,0,TBD,TBD,TBD,270001,500000001,MEX,RSA
2026,11 Jun 2026 - 22:00 ,Group A,Estadio Akron,Zapopan ,South Korea,TBD,TBD,Czechia, ,0,0,0,TBD,TBD,TBD,270001,500000002,KOR,CZE
2026,18 Jun 2026 - 21:00 ,Group A,Estadio Akron,Zapopan ,Mexico,TBD,TBD,South Korea, ,0,0,0,TBD,TBD,TBD,270001,500000003,MEX,KOR
2026,18 Jun 2026 - 12:00 ,Group A,Mercedes-Benz Stadium,Atlanta ,Czechia,TBD,TBD,South Africa, ,0,0,0,TBD,TBD,TBD,270001,500000004,CZE,RSA
2026,24 Jun 2026 - 21:00 ,Group A,Estadio Azteca,Mexico City ,Czechia,TBD,TBD,Mexico, ,0,0,0,TBD,TBD,TBD,270001,500000005,CZE,MEX
2026,24 Jun 2026 - 21:00 ,Group A,Estadio BBVA,Monterrey ,South Africa,TBD,TBD,South Korea, ,0,0,0,TBD,TBD,TBD,270001,500000006,RSA,KOR
2026,12 Jun 2026 - 15:00 ,Group B,BMO Field,Toronto ,Canada,TBD,TBD,Bosnia & Herzegovina, ,0,0,0,TBD,TBD,TBD,270001,500000007,CAN,BIH
2026,13 Jun 2026 - 15:00 ,Group B,Levi's Stadium,Santa Clara ,Qatar,TBD,TBD,Switzerland, ,0,0,0,TBD,TBD,TBD,270001,500000008,QAT,SUI
2026,18 Jun 2026 - 18:00 ,Group B,BC Place,Vancouver ,Canada,TBD,TBD,Qatar, ,0,0,0,TBD,TBD,TBD,270001,500000009,CAN,QAT
2026,18 Jun 2026 - 15:00 ,Group B,SoFi Stadium,Inglewood ,Switzerland,TBD,TBD,Bosnia & Herzegovina, ,0,0,0,TBD,TBD,TBD,270001,500000010,SUI,BIH
2026,24 Jun 2026 - 15:00 ,Group B,BC Place,Vancouver ,Switzerland,TBD,TBD,Canada, ,0,0,0,TBD,TBD,TBD,270001,500000011,SUI,CAN
2026,24 Jun 2026 - 15:00 ,Group B,Lumen Field,Seattle ,Bosnia & Herzegovina,TBD,TBD,Qatar, ,0,0,0,TBD,TBD,TBD,270001,500000012,BIH,QAT
2026,13 Jun 2026 - 18:00 ,Group C,MetLife Stadium,East Rutherford ,Brazil,TBD,TBD,Morocco, ,0,0,0,TBD,TBD,TBD,270001,500000013,BRA,MAR
2026,13 Jun 2026 - 21:00 ,Group C,Gillette Stadium,Foxborough ,Haiti,TBD,TBD,Scotland, ,0,0,0,TBD,TBD,TBD,270001,500000014,HAI,SCO
2026,19 Jun 2026 - 18:00 ,Group C,Gillette Stadium,Foxborough ,Scotland,TBD,TBD,Morocco, ,0,0,0,TBD,TBD,TBD,270001,500000015,SCO,MAR
2026,19 Jun 2026 - 20:30 ,Group C,Lincoln Financial Field,Philadelphia ,Brazil,TBD,TBD,Haiti, ,0,0,0,TBD,TBD,TBD,270001,500000016,BRA,HAI
2026,24 Jun 2026 - 18:00 ,Group C,Hard Rock Stadium,Miami Gardens ,Scotland,TBD,TBD,Brazil, ,0,0,0,TBD,TBD,TBD,270001,500000017,SCO,BRA
2026,24 Jun 2026 - 18:00 ,Group C,Mercedes-Benz Stadium,Atlanta ,Morocco,TBD,TBD,Haiti, ,0,0,0,TBD,TBD,TBD,270001,500000018,MAR,HAI
2026,12 Jun 2026 - 21:00 ,Group D,SoFi Stadium,Inglewood ,USA,TBD,TBD,Paraguay, ,0,0,0,TBD,TBD,TBD,270001,500000019,USA,PAR
2026,14 Jun 2026 - 00:00 ,Group D,BC Place,Vancouver ,Australia,TBD,TBD,Türkiye, ,0,0,0,TBD,TBD,TBD,270001,500000020,AUS,TUR
2026,19 Jun 2026 - 15:00 ,Group D,Lumen Field,Seattle ,USA,TBD,TBD,Australia, ,0,0,0,TBD,TBD,TBD,270001,500000021,USA,AUS
2026,19 Jun 2026 - 23:00 ,Group D,Levi's Stadium,Santa Clara ,Türkiye,TBD,TBD,Paraguay, ,0,0,0,TBD,TBD,TBD,270001,500000022,TUR,PAR
2026,25 Jun 2026 - 22:00 ,Group D,SoFi Stadium,Inglewood ,Türkiye,TBD,TBD,USA, ,0,0,0,TBD,TBD,TBD,270001,500000023,TUR,USA
2026,25 Jun 2026 - 22:00 ,Group D,Levi's Stadium,Santa Clara ,Paraguay,TBD,TBD,Australia, ,0,0,0,TBD,TBD,TBD,270001,500000024,PAR,AUS
